Family_fa,Given_fa,Paper_articleTitle,Paper_authorFullNames,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,fa_insti,country
Mejias,Ulises A.,Disinformation and the media: the case of Russia and Ukraine,"Mejias, Ulises A. (1)| Vokuev, Nikolai E. (2)",5.75,1.5,0.89,(S),(S),91.59,"SUNY Coll Oswego, 222B Marano, Oswego, NY 13126 USA",USA
ITCHON,J,EFFECTS OF AMBIGUITY AND COMPLEXITY ON CONSUMER RESPONSE TO MUSIC VIDEO COMMERCIALS,"ITCHON, J (1)| DUCKLER, P (2)| THORSON, E (3)",5.74,(S),89.34,0,(S),0,"UNIV MISSOURI,SCH JOURNALISM,COLUMBIA,MO 65201",USA
Sawhney,Harmeet,From hierarchy to open configurations: decentralization and user-generated content,"Sawhney, Harmeet (1)| Suri, Venkata Ratnadeep (2)",5.72,(S),88.15,(S),4.16,1.04,"Indiana Univ, Bloomington, IN 47401 USA",USA
Gong,Yuan,Media Reflexivity and Taste: Chinese Slash Fans' Queering of European Football,"Gong, Yuan (1)",5.71,(S),88.88,(S),3.24,1.48,"Univ Massachusetts, Dept Commun, Amherst, MA 01003 USA",USA
Gong,Li,When a talking-face computer agent is half-human and half-humanoid: Human identity and consistency preference,"Gong, Li (1)| Nass, Clifford (2)",5.71,(S),88.88,(S),3.24,1.48,"Ohio State Univ, Sch Commun, Columbus, OH 43210 USA",USA
Gong,Zijian Harrison,When style obscures substance: Visual attention to display appropriateness in the 2012 presidential debates,"Gong, Zijian Harrison (1)| Bucy, Erik P. (2)",5.71,(S),88.88,(S),3.24,1.48,"Univ Tampa, Dept Commun, Tampa, FL 33606 USA",USA
Gong,W,Measuring web advertising effectiveness in China,"Gong, W (1)| Maddox, LM (2)",5.71,(S),88.88,(S),3.24,1.48,"Rochester Inst Technol, Rochester, NY 14623 USA",USA
Takeshita,Chikako,"""Countering technocracy: """"natural"""" birth in The Business of Being Born and Call the Midwife""","Takeshita, Chikako (1)",5.7,0,84.09,0,5.5,4.72,"Univ Calif Riverside, Gender & Sexual Studies, Riverside, CA 92521 USA",USA
Yamamoto,Ryoko,Bridging crime and immigration: Minority signification in Japanese newspaper reports of the 2003 Fukuoka family murder case,"Yamamoto, Ryoko (1)",5.68,(S),79.82,(S),10.52,3.88,"SUNY Coll Old Westbury, Old Westbury, NY 11568 USA",USA
Yamamoto,Masahiro,Drug Abuse Violations in Communities: Community Newspapers as a Macro-level Source of Social Control,"Yamamoto, Masahiro (1)| Ran, Weina (2)",5.68,(S),79.82,(S),10.52,3.88,"Univ Wisconsin, La Crosse, WI 54601 USA",USA
Okuyama,Yoshiko,A case study of US deaf teens' text messaging: Their innovations and adoption of textisms,"Okuyama, Yoshiko (1)",5.67,(S),85.82,0,5.67,(S),"Univ Hawaii, Dept Languages, Hilo, HI 96720 USA",USA
Taniguchi,Emiko,Mediating Role of Social Competence: Family Communication and Body Satisfaction among Male College Students,"Taniguchi, Emiko (1)",5.66,(S),72.23,(S),15.98,5.66,"Univ Hawaii Manoa, Dept Communicol, 2560 Campus Rd, Honolulu, HI 96822 USA",USA
Fukuda,Chie,"Multimodal Demonstrations of Understanding of Visible, Imagined, and Tactile Objects in Guided Tours","Fukuda, Chie (1)| Burdelski, Matthew (2)",5.63,(S),80.54,(S),10.56,3.2,"Univ Hawaii Manoa, Dept East Asian Languages & Literatures, 1890 East West Rd,Moore Hall 382, Honolulu, HI 96822 USA",USA
Yee,Nick,The Difference Between Being and Seeing: The Relative Contribution of Self-Perception and Priming to Behavioral Changes via Digital Self-Representation,"Yee, Nick (1)| Bailenson, Jeremy N. (2)",5.58,0.58,83.54,0.05,6.99,3.26,"Stanford Univ, Dept Commun, Stanford, CA USA",USA
Hur,Aram,CODING VOTER TURNOUT RESPONSES IN THE CURRENT POPULATION SURVEY,"Hur, Aram (1)| Achen, Christopher H. (2)",5.55,(S),92,(S),1.27,0.59,"Princeton Univ, Dept Polit, Princeton, NJ 08544 USA",USA
Joo,Yeon Kyoung,"""Can """"The Voices in the Car"""" Persuade Drivers to Go Green?: Effects of Benefit Appeals from In-Vehicle Voice Agents and the Role of Drivers' Affective States on Eco-Driving""","Joo, Yeon Kyoung (1)| Lee, Jong-Eun Roselyn (2)",5.51,0.42,90,0,1.19,2.88,"Stanford Univ, Dept Commun, Stanford, CA 94305 USA",USA
Youn,Seounmi,Teens' responses to Facebook newsfeed advertising: The effects of cognitive appraisal and social influence on privacy concerns and coping strategies,"Youn, Seounmi (1)| Shin, Wonsun (2)",5.45,2.16,89.97,(S),1.46,(S),"Emerson Coll, Sch Commun, Dept Mkt Commun, 120 Boylston St, Boston, MA 02116 USA",USA
Arvizu,Shannon,Creating alternative visions of Arab society: emerging youth publics in Cairo,"Arvizu, Shannon (1)",5.45,0.16,0.23,0.29,0.31,93.56,"Columbia Univ, Dept Sociol, New York, NY 10027 USA",USA
Garcia,Mattea A.,"""""""Ask a Professional-Ask a Librarian"""": Librarianship and the Chronic Struggle for Professional Status""","Garcia, Mattea A. (1)| Barbour, Joshua B. (2)",5.38,0.45,1.41,0.47,0.26,92.03,"Rollins Coll, Dept Commun, 1000 Holt Ave,Box 2777, Winter Pk, FL 32789 USA",USA
Torres,IM,Hispanic-targeted advertising: More sales?,"Torres, IM (1)| Gelb, BD (2)",5.35,0.57,1.43,0.2,0.28,92.16,"Univ Houston, Bauer Coll Business, Dept Mkt & Entrepreneurship, Houston, TX 77004 USA",USA
Chopra,R,Global primordialities: virtual identity politics in online Hindutva and online Dalit discourse,"Chopra, R (1)",5.35,0.31,89.26,0.31,3.62,1.14,"Emory Univ, Grad Inst Liberal Arts, Atlanta, GA 30322 USA",USA
Pena,Jorge,The Priming Effects of Virtual Environments on Interpersonal Perceptions and Behaviors,"Pena, Jorge (1)| Blackburn, Kate (2)",5.34,0.52,1.09,0.31,0.24,92.5,"Univ Calif Davis, Dept Commun, Davis, CA 95616 USA",USA
Pena,Jorge F.,Integrating the Influence of Perceiving and Operating Avatars Under the Automaticity Model of Priming Effects,"Pena, Jorge F. (1)",5.34,0.52,1.09,0.31,0.24,92.5,"Univ Texas Austin, Dept Commun Studies, Austin, TX 78712 USA",USA
Lizardo,Omar,"""Why """"cultural matters"""" matter: Culture talk as the mobilization of cultural capital in interaction""","Lizardo, Omar (1)",5.33,(S),13.73,(S),1.93,77.88,"Univ Notre Dame, Dept Sociol, 810 Flanner Hall, Notre Dame, IN 46556 USA",USA
Lizardo,O,Can cultural capital theory be reconsidered in the light of world polity institutionalism? Evidence from Spain,"Lizardo, O (1)",5.33,(S),13.73,(S),1.93,77.88,"Univ Arizona, Dept Sociol, Tucson, AZ 85721 USA",USA
Bai,Sang Y.,"Constructing Racial Groups' Identities in the Diasporic Press: Internalization, Resonance, Transparency, and Offset","Bai, Sang Y. (1)",5.3,1.59,91.26,(S),1.11,(S),"Univ Texas Austin, Sch Journalism, Austin, TX 78712 USA",USA
Martinez,Lourdes S.,"""""""Okay, We Get It. You Vape"""": An Analysis of Geocoded Content, Context, and Sentiment regarding E-Cigarettes on Twitter""","rtinez, Lourdes S. (1)| Hughes, Sharon (2)| Walsh-Buhi, Eric R. (3)| Tsou, Ming-Hsiang (4)",5.28,0.49,0.6,0.51,0.22,92.91,"San Diego State Univ, Sch Commun 619 594 8512, 5500 Campanile Dr, San Diego, CA 92182 USA",USA
Molleda,JC,Cross-national conflict shifting: a global public relations dynamic,"Molleda, JC (1)| Quinn, C (2)",5.19,(S),(S),0,0,93.87,"Univ Florida, Dept Publ Relat, Gainesville, FL 32611 USA",USA
Molleda,Juan-Carlos,Transitional socioeconomic and political environments of public relations in Mexico,"Molleda, Juan-Carlos (1)| Moreno, Angeles (2)",5.19,(S),(S),0,0,93.87,"Univ Florida, Coll Journalism & Commun, Dept Publ Relat, Gainesville, FL 32611 USA",USA
Cruz,J,Nineteenth century US religious crisis and the sociology of music,"Cruz, J (1)",5.17,0.8,5.19,0.27,0.7,87.88,"Univ Calif Santa Cruz, Santa Cruz, CA 95064 USA",USA
GHOSH,DN,SELECTIVE NATURE OF BIAS,"GHOSH, DN (1)",5.16,0.16,90.92,0.16,2.95,0.65,"HUMAN SCI RES INC, MCLEAN, VA USA",USA
Cooks,L,From distance and uncertainty to research and pedagogy in the borderlands: Implications for the future of intercultural communication,"Cooks, L (1)",5.15,88.79,0.1,0.28,3.46,2.23,"Univ Massachusetts, Amherst, MA 01003 USA",USA
Bardhan,Nilanjana,A Post/Decolonial View of Race and Identity Through the Narratives of U.S. International Students from the Global South,"Bardhan, Nilanjana (1)| Zhang, Bin (2)",5.13,0,90.6,0,4.27,0,"Southern Illinois Univ, Dept Commun Studies, Carbondale, IL USA",USA
Gomez,Stephanie L.,"""""""It's (not) handled"""": race, gender, and refraction in Scandal""","Gomez, Stephanie L. (1)| McFarlane, Megan D. (2)",5.12,0.75,1.01,0.26,0.26,92.6,"Univ Utah, Dept Commun, Salt Lake City, UT 84112 USA",USA
Segovia,Kathryn Y.,Virtually True: Children's Acquisition of False Memories in Virtual Reality,"Segovia, Kathryn Y. (1)| Bailenson, Jeremy N. (2)",5.12,0.44,1.95,0.21,0.5,91.78,"Stanford Univ, Dept Commun, Stanford, CA 94305 USA",USA
Segovia,Gi Woong,"Selective Moderation, Selective Responding, and Balkanization of the Blogosphere: A Field Experiment",", Gi Woong (1)| Park, Sung-Yeon (2)| Holody, Kyle (3)| Yoon, Ki Sung (4)| Xie, Shuang (5)",5.12,0.44,1.95,0.21,0.5,91.78,"Bowling Green State Univ, Sch Media & Commun, Bowling Green, OH 43403 USA",USA
Segovia,Francine,THE POLLS-TRENDS AMERICAN PUBLIC OPINION ON IMMIGRANTS AND IMMIGRATION POLICY,"Segovia, Francine (1)| Defever, Renatta (2)",5.12,0.44,1.95,0.21,0.5,91.78,"Robert E Mitchell Ctr Prisoner War Studies, Pensacola, FL 32508 USA",USA
Vasquez,GM,What cultural values influence American public relations practitioners?,"Vasquez, GM (1)| Taylor, M (2)",5.06,0.51,0.73,0.29,0.24,93.17,"Univ Houston, Sch Commun, Houston, TX 77004 USA",USA
Vasquez,Camilla,Reported Speech and Reported Mental States in Mentoring Meetings: Exploring Novice Teacher Identities,"Vasquez, Camilla (1)| Urzua, Alfredo (2)",5.06,0.51,0.73,0.29,0.24,93.17,"Univ S Florida, Dept World Languages, Tampa, FL 33620 USA",USA
Menon,Alka V.,Cultural gatekeeping in cosmetic surgery: Transnational beauty ideals in multicultural Malaysia,"Menon, Alka V. (1)",5.04,(S),91.25,(S),2.38,0.75,"Yale Univ, Dept Sociol, 493 Coll St, New Haven, CT 06511 USA",USA
Menon,Siddhartha,Linking generativity and disruptive innovation to conceptualize ICTs,"Menon, Siddhartha (1)",5.04,(S),91.25,(S),2.38,0.75,"New Amer Fdn, Washington, DC USA",USA
Menon,S,Managing the power of curiosity for effective Web advertising strategies,"Menon, S (1)| Soman, D (2)",5.04,(S),91.25,(S),2.38,0.75,"Univ Illinois, Coll Business Adm, Chicago, IL 60680 USA",USA
BARRERA,E,STATE INTERVENTION AND TELECOMMUNICATIONS IN MEXICO,"BARRERA, E (1)",5.01,0.27,1.14,0.2,0.21,93.18,"UNIV TEXAS,DEPT COMMUN,EL PASO,TX 79968",USA
Rios,Maria E.,HEALTH NEWS AGENDA BUILDING: JOURNALISTS' PERCEPTIONS OF THE ROLE OF PUBLIC RELATIONS,"Rios, Maria E. (1)| Hinnant, Amanda (2)| Park, Sun-A (3)| Cameron, Glen T. (4)| Frisby, Cynthia M. (5)| Lee, Youngah (6)",4.99,0.44,0.43,0.32,0.22,93.61,"Univ Missouri, Columbia, MO 65211 USA",USA
Rios,Kimberly,Science-religion compatibility beliefs across Middle Eastern and American young adult samples: The role of cross-cultural exposure,"Rios, Kimberly (1)| Aveyard, Mark (2)",4.99,0.44,0.43,0.32,0.22,93.61,"Ohio Univ, Psychol, Athens, OH 45701 USA",USA
Ortiz,Michelle,The Subjective Group Dynamics of Inter- and Intragroup Criminality in the News: The Role of Prior Television News Viewing as a Moderator,"Ortiz, Michelle (1)| Harwood, Jake (2)",4.96,0.64,0.67,0.37,0.25,93.11,"Ohio State Univ, Columbus, OH 43210 USA",USA
Ortiz,Stephanie M.,The meanings of racist and sexist trash talk for men of color: A cultural sociological approach to studying gaming culture,"Ortiz, Stephanie M. (1)",4.96,0.64,0.67,0.37,0.25,93.11,"Texas A&M Univ, Dept Sociol, 311 Acad Bldg, College Stn, TX 77840 USA",USA
Ortiz,Jaime,Electronic word of mouth in the Taiwanese social networking community: participation factors,"rtiz, Jaime (1)| Chih, Wen-Hai (2)| Teng, Hsiu-Chen (3)",4.96,0.64,0.67,0.37,0.25,93.11,"Univ Houston, Global Strategies & Studies, Houston, TX USA",USA
Figueroa,Maria Elena,A Theory-Based Socioecological Model of Communication and Behavior for the Containment of the Ebola Epidemic in Liberia,"Figueroa, Maria Elena (1)",4.93,0.84,1,0.15,0.26,92.82,"Johns Hopkins Bloomberg Sch Publ Hlth, Johns Hopkins Ctr Commun Programs, 111 Market Pl, Baltimore, MD 21202 USA",USA
Macias,Wendy,The return of the house call: The role of Internet-based interactivity in bringing health information home to older adults,"Macias, Wendy (1)| McMillan, Sally (2)",4.92,0.17,0.4,0.21,0.16,94.14,"Univ Georgia, Grady Coll Journalism & Mass Commun, Dept Advertising & Publ Relat, Athens, GA 30602 USA",USA
Macias,W,A content analysis of direct-to-consumer (DTC) prescription drug web sites,"Macias, W (1)| Lewis, LS (2)",4.92,0.17,0.4,0.21,0.16,94.14,"Univ Georgia, Grady Coll Journalism & Mass Commun, Dept Advertising & Publ Relat, Athens, GA 30602 USA",USA
CHAUDHURI,A,MEDIA DIFFERENCES IN RATIONAL AND EMOTIONAL RESPONSES TO ADVERTISING,"CHAUDHURI, A (1)| BUCK, R (2)",4.91,(S),90.03,(S),2.46,1.45,"UNIV CONNECTICUT,STORRS,CT 06269",USA
Chaudhuri,A,How brand reputation affects the advertising-brand equity link,"Chaudhuri, A (1)",4.91,(S),90.03,(S),2.46,1.45,"Fairfield Univ, Dept Mkt, Charles F Dolan Sch Business, Fairfield, CT 06430 USA",USA
Valdivia,Angharad N.,Introduction from the New Editor,"Valdivia, Angharad N. (1)",4.9,0.18,0.42,0.15,0.22,94.13,"Univ Illinois, Urbana, IL 61801 USA",USA
Flores,Andrea,Morality and ethics behind the screen: Young people's perspectives on digital life,"Flores, Andrea (1)| James, Carrie (2)",4.87,0.42,2.08,0.34,0.36,91.94,"Brown Univ, Harvard Project Zero, Providence, RI 02912 USA",USA
Lopez,Lori Kido,Always on the Phone: The Invisible Role of Hmong Women in Diasporic Media Industries,"Lopez, Lori Kido (1)",4.86,0.57,1.02,0.38,0.25,92.92,"Univ Wisconsin, Dept Commun Arts, Madison, WI 53706 USA",USA
Lopez,Mark Hugo,"Schools, Education Policy, and the Future of the First Amendment","pez, Mark Hugo (1)| Levine, Peter (2)| Dautrich, Kenneth (3)| Yalof, David (4)",4.86,0.57,1.02,0.38,0.25,92.92,"Pew Hispan Ctr, Washington, DC 20036 USA",USA
Tapia,Andrea,WIRELESS DEVICES FOR HUMANITARIAN DATA COLLECTION The socio-technical implications for multi-level organizational change,"Tapia, Andrea (1)| Maitland, Carleen (2)",4.85,0.29,0.71,0.4,0.22,93.54,"Penn State Univ, Coll Informat Sci & Technol, State Coll, PA 16802 USA",USA
Becerra,Enrique P.,"The Influence of Ethnic Identification in Digital Advertising How Hispanic Americans' Response To Pop-Up, E-Mail, and Banner Advertising Affects Online Purchase Intentions","Becerra, Enrique P. (1)| Korgaonkar, Pradeep K. (2)",4.82,0.18,0.26,0.22,0.18,94.34,"Texas State Univ, Dept Mkt, San Marcos, TX USA",USA
Nah,Hye Soo,Unpublishing the News: An Analysis of US and South Korean Journalists' Discourse About an Emerging Practice,"Nah, Hye Soo (1)| Craft, Stephanie (2)",4.77,34.13,46.06,(S),(S),14.08,"Univ Illinois, Champaign, IL 61820 USA",USA
Rodriguez,Nathian Shae,Communicating global inequalities: How LGBTI asylum-specific NGOs use social media as public relations,"Rodriguez, Nathian Shae (1)",4.75,0.54,0.57,0.18,0.18,93.77,"Texas Tech Univ, Coll Media & Commun, Box 43082, Lubbock, TX 79409 USA",USA
Rodriguez,Clemencia,The poetics of indigenous radio in Colombia,"Rodriguez, Clemencia (1)| El Gazi, Jeanine (2)",4.75,0.54,0.57,0.18,0.18,93.77,"Univ Oklahoma, Dept Commun, Norman, OK 73019 USA",USA
Rodriguez,C,Shattering butterflies and Amazons: Symbolic constructions of women in Colombian development discourse,"Rodriguez, C (1)",4.75,0.54,0.57,0.18,0.18,93.77,"Univ Oklahoma, Norman, OK 73019 USA",USA
Rodriguez,Paul,Talking brains: a cognitive semantic analysis of an emerging folk neuropsychology,"Rodriguez, Paul (1)",4.75,0.54,0.57,0.18,0.18,93.77,"Univ Calif Irvine, Dept Cognit Sci, Irvine, CA 92697 USA",USA
Woo,Dajung,Portrayals of Unethical and Unvirtuous Workplace Behaviors on TV: Implications for Vocational Anticipatory Socialization,"Woo, Dajung (1)| Mcdermott, Kimberly W. (2)",4.65,0.44,86.86,0.08,4.81,3.16,"Univ Tennessee, Knoxville, TN 37996 USA",USA
Woo,DaJung,Organizational Membership Negotiation of Boundary Spanners: Becoming a Competent Jack of All Trades and Master of . . . Interactional Expertise,"Woo, DaJung (1)| Myers, Karen K. (2)",4.65,0.44,86.86,0.08,4.81,3.16,"Univ Tennessee, Sch Commun Studies, 1345 Circle Pk Dr,Suite 293, Knoxville, TN 37996 USA",USA
Woo,Chang Wan,Sports PR in message boards on Major League Baseball websites,"oo, Chang Wan (1)| An, Seon-Kyoung (2)| Cho, Seung Ho (3)",4.65,0.44,86.86,0.08,4.81,3.16,"Univ Alabama, Coll Commun & Informat Sci, Tuscaloosa, AL 35487 USA",USA
Fujioka,Yuki,How Do Physicians Discuss e-Health with Patients? The Relationship of Physicians' e-Health Beliefs to Physician Mediation Styles,"Fujioka, Yuki (1)| Stewart, Erin (2)",4.63,(S),80.14,(S),11.43,2.45,"Georgia State Univ, Dept Commun, Atlanta, GA 30302 USA",USA
Fujioka,Y,The implications of vantage point in parental mediation of television and child's attitudes toward drinking alcohol,"Fujioka, Y (1)| Austin, EW (2)",4.63,(S),80.14,(S),11.43,2.45,"Georgia State Univ, Dept Commun, Atlanta, GA 30303 USA",USA
Arroyo,Analisa,Family Interactions and Disordered Eating Attitudes: The Mediating Roles of Social Competence and Psychological Distress,"Arroyo, Analisa (1)| Segrin, Chris (2)",4.62,0.63,1.06,0.13,0.24,93.31,"Univ Georgia, Athens, GA 30602 USA",USA
Cheah,Pheng,"""""""THE WORLD IS WATCHING"""" The mediatic structure of cosmopolitanism""","Cheah, Pheng (1)",4.6,3.72,85.12,0,4.6,1.97,"Univ Calif Berkeley, Dept Rhetor, Berkeley, CA 94720 USA",USA
Cisneros,J. David,"A Nation of Immigrants and a Nation of Laws: Race, Multiculturalism, and Neoliberal Exception in Barack Obama's Immigration Discourse","Cisneros, J. David (1)",4.58,0.2,0.2,0.12,0.17,94.73,"Univ Illinois, Dept Commun, Urbana, IL 61801 USA",USA
Malhotra,Neil,Order Effects in Complex and Simple Tasks,"Malhotra, Neil (1)",4.55,0.41,90.49,0.41,2.93,1.22,"Stanford Univ, Grad Sch Business, Stanford, CA 94305 USA",USA
Zarzosa,Jennifer,Measures of aesthetic dimensions and reactions in advertising,"Zarzosa, Jennifer (1)| Huhmann, Bruce A. (2)",4.51,0,0,0,0,95.49,"Henderson State Univ, Sch Business, Arkadelphia, AR 71999 USA",USA
Tortolero,Susan R.,Daily Violent Video Game Playing and Depression in Preadolescent Youth,"o, Susan R. (1)| Peskin, Melissa F. (2)| Baumler, Elizabeth R. (3)| Cuccaro, Paula M. (4)| Elliott, Marc N. (5)| Davies, Susan L. (6)| Lewis, Terri H. (7)| Banspach, Stephen W. (8)| Kanouse, David E. (9)| Schuster, Mark A. (10)",4.5,0,(S),(S),0,93.69,"Univ Texas Hlth Sci Ctr Houston UTHlth, Sch Publ Hlth, Ctr Hlth Promot & Prevent Res, Houston, TX 77030 USA",USA
Cornejo,Rodrigo Castro,Partisanship and Question-Wording Effects: Experimental Evidence from Latin America,"Cornejo, Rodrigo Castro (1)",4.49,0.18,1.72,0.11,0.24,93.26,"Univ Virginia, Dept Polit, POB 400787, Charlottesville, VA 22904 USA",USA
Bonilla,Tabitha,Elevated threat levels and decreased expectations: How democracy handles terrorist threats,"Bonilla, Tabitha (1)| Grimmer, Justin (2)",4.48,0.7,1.17,0.17,0.25,93.23,"Stanford Univ, Dept Polit Sci, Stanford, CA 94305 USA",USA
Mukherjee,Partha,Conversing and searching: the causal relationship between social media and web search,"Mukherjee, Partha (1)| Jansen, Bernard J. (2)",4.46,(S),91.64,(S),2.84,0.67,"Univ Arizona, Dept Management Informat Syst, Eller Coll Business, Tucson, AZ 85721 USA",USA
Mukherjee,Rahul,Jio sparks Disruption 2.0: infrastructural imaginaries and platform ecosystems in 'Digital India',"Mukherjee, Rahul (1)",4.46,(S),91.64,(S),2.84,0.67,"Univ Penn, Fisher Bennett Hall,Room 127,3340 Walnut St, Philadelphia, PA 19104 USA",USA
Amaya,Hector,"Citizenship, diversity, law and Ugly Betty","Amaya, Hector (1)",4.45,0.62,0.43,0.15,0.2,94.15,"Univ Virginia, Charlottesville, VA 22903 USA",USA
Amaya,Ashley,NONRESPONSE BIAS FOR UNIVARIATE AND MULTIVARIATE ESTIMATES OF SOCIAL ACTIVITIES AND ROLES,"Amaya, Ashley (1)| Presser, Stanley (2)",4.45,0.62,0.43,0.15,0.2,94.15,"RTI Int, 701 13th St NW,Suite 750, Washington, DC 20005 USA",USA
Zuniga,Homero Gil,Expressive Versus Consumptive Blog Use: Implications for Interpersonal Discussion and Political Participation,"Zuniga, Homero Gil (1)| Bachmann, Ingrid (2)| Hsu, Shih-Hsien (3)| Brundidge, Jennifer (4)",4.45,0.48,0.75,0.23,0.16,93.92,"Univ Texas Austin, Austin, TX 78712 USA",USA
Zuniga,Miguel A.,African American Consumers' Evaluations of Ethnically Primed Advertisements,"Zuniga, Miguel A. (1)",4.45,0.48,0.75,0.23,0.16,93.92,"Morgan State Univ, Dept Business Adm, Sch Business & Management, Mkt, Baltimore, MD 21251 USA",USA
Reyes,Victoria,The production of cultural and natural wealth: An examination of World Heritage sites,"Reyes, Victoria (1)",4.41,0.59,5.58,0.24,0.59,88.58,"Princeton Univ, Dept Sociol, Princeton, NJ 08440 USA",USA
Banerjee,Smita C.,Role of Transportation in the Persuasion Process: Cognitive and Affective Responses to Antidrug Narratives,"Banerjee, Smita C. (1)| Greene, Kathryn (2)",4.41,0.22,91.63,0.18,2.97,0.59,"Mem Sloan Kettering Canc Ctr, Dept Psychiat & Behav Sci, New York, NY 10022 USA",USA
Banerjee,Xiaoli,"Risk, Efficacy, and Seeking of General, Breast, and Prostate Cancer Information",", Xiaoli (1)| Underhill, Jill (2)| Jiang, Hua (3)| Shen, Hongmei (4)| Kuch, Beth (5)",4.41,0.22,91.63,0.18,2.97,0.59,"Univ Maryland, Dept Commun, College Pk, MD 20742 USA",USA
Chatterjee,Patrali,Drivers of new product recommending and referral behaviour on social network sites,"Chatterjee, Patrali (1)",4.36,(S),90.77,(S),3.57,0.93,"Montclair State Univ, Sch Business, Montclair, NJ 07043 USA",USA
Chatterjee,Tupur,"Rape culture, misogyny, and urban anxiety in NH10 and Pink","Chatterjee, Tupur (1)",4.36,(S),90.77,(S),3.57,0.93,"Univ Texas Austin, Radiotelevis Film, Austin, TX 78712 USA",USA
Jun,Jungmi,How climate change organizations utilize websites for public relations,"Jun, Jungmi (1)",4.34,0.25,94.19,0,0.62,0.62,"George Mason Univ, Fairfax, VA 22030 USA",USA
SINGH,K,MACBRIDE - THE REPORT AND THE RESPONSE,"SINGH, K (1)| GROSS, B (2)",4.29,4.48,82.77,1.15,4.81,2.5,"CUNY HUNTER COLL,DEPT URBAN AFFAIRS,NEW YORK,NY 10021",USA
SINGH,SN,RESPONSE-BIAS-FREE RECOGNITION TESTS TO MEASURE ADVERTISING EFFECTS,"SINGH, SN (1)| CHURCHILL, GA (2)",4.29,4.48,82.77,1.15,4.81,2.5,"UNIV WISCONSIN,BUSINESS RES,MADISON,WI 53706",USA
Chadha,Kalyani,The Potential And Limitations Of Citizen Journalism Initiatives Chhattisgarh's CGNet Swara,"Chadha, Kalyani (1)| Steiner, Linda (2)",4.26,(S),89.98,(S),4.05,1.35,"Univ Maryland, Merrill Coll Journalism, College Pk, MD 20742 USA",USA
Chadha,Monica,WHAT I AM VERSUS WHAT I DO Work and identity negotiation in hyperlocal news startups,"Chadha, Monica (1)",4.26,(S),89.98,(S),4.05,1.35,"Arizona State Univ, Walter Cronkite Sch Journalism & Mass Commun, Tempe, AZ 85287 USA",USA
Villanueva,George,Communication Asset Mapping: An Ecological Field Application Toward Building Healthy Communities,"lanueva, George (1)| Broad, Garrett M. (2)| Gonzalez, Carmen (3)| Ball-Rokeach, Sandra (4)| Murphy, Sheila T. (5)",4.25,0.43,12.29,0.26,1.01,81.77,"Loyola Univ Chicago, Chicago, IL 60660 USA",USA
Mun,Seung-Hwan,"Printing press without copyright: a historical analysis of printing and publishing in Song, China","Mun, Seung-Hwan (1)",4.24,1.16,90.68,0,1.82,2.1,"NE Illinois Univ, Dept Commun Media & Theatre, Chicago, IL 60625 USA",USA
Han,Woori,"SlutWalk Korea: Translation, Cultural Production, and the Politics of Possibility","Han, Woori (1)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Massachusetts, Dept Commun, Amherst, MA 01003 USA",USA
Han,Le,"Our Home Is Here: History, Memory, and Identity in the Museum of Chinese in America","Han, Le (1)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Penn, Annenberg Sch Commun, Philadelphia, PA 19104 USA",USA
Han,Jiyoung,Partisan Self-Stereotyping: Testing the Salience Hypothesis in a Prediction of Political Polarization,"Han, Jiyoung (1)| Wackman, Daniel B. (2)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Minnesota, Minneapolis, MN 55455 USA",USA
Han,Rongbin,Withering Gongzhi: Cyber Criticism of Chinese Public Intellectuals,"Han, Rongbin (1)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Georgia, Athens, GA 30602 USA",USA
Han,Dong,The Market Value of Who We Are: The Flow of Personal Data and Its Regulation in China,"Han, Dong (1)",4.24,0.5,92.67,0.07,1.7,0.82,"Southern Illinois Univ, Sch Journalism, Carbondale, IL 62901 USA",USA
Han,Eunkyoung,Developing a measure of celebrity reputation,"Han, Eunkyoung (1)| Ki, Eyun-Jung (2)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Alabama, Dept Advertising & Publ Relat, Coll Commun & Informat Sci, Tuscaloosa, AL 35487 USA",USA
Han,Gang (Kevin),"Starbucks is forbidden in the Forbidden City: Blog, circuit of culture and informal public relations campaign in China","Han, Gang (Kevin) (1)| Zhang, Ai (2)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Maryland, Dept Commun, College Pk, MD 20742 USA",USA
Han,Jeong Yeob,A Longitudinal Study of Use of an Interactive Health Communication System,"Han, Jeong Yeob (1)",4.24,0.5,92.67,0.07,1.7,0.82,"Univ Georgia, Henry W Grady Coll Journalism & Mass Commun, Dept Telecommun, Athens, GA 30602 USA",USA
Kumar,Sangeet,"The Global as the Postcolonial: Desire, Identity, and Liminality in Indian Rock","Kumar, Sangeet (1)",4.23,0.94,88.26,0.6,4.91,1.07,"Denison Univ, Granville, OH 43023 USA",USA
