last_name,first_name,article_title,fa_insti
Lee, Alfred McClung ,Implementation of Opinion Survey Standards,Missing
Lee, Junghee ,The computer-mediated communication network: exploring the linkage between the online community and social capital,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA"
Lee, Sook-Jung ,Parental restrictive mediation of children's internet use: Effective for what and for whom?,"Chung Ang Univ, Dept Mass Commun, Seoul 156756, South Korea"
Lee, Yeon-Ok ,The fragile beauty of peer-to-peer activism: The public campaign for the rights of media consumers in South Korea,"Univ London, SOAS, Russell Sq, London WC1H 0XG, England"
Lee, Ashley ,Invisible networked publics and hidden contention: Youth activism and social media tactics under repression,"Harvard Univ, Cambridge, MA 02138 USA"
Lee, Joonghwa ,Canonical correlation analysis of online video advertising viewing motivations and access characteristics,"St Louis Univ, Dept Commun, St Louis, MO 63108 USA"
Lee, Eun-Ju ,"Effects of infographics on news elaboration, acquisition, and evaluation: Prior knowledge and issue involvement as moderators","Seoul Natl Univ, Dept Commun, 1 Gwanak Ro, Seoul 151742, South Korea"
Lee, Francis L. F. ,Organizational Production of Self-Censorship in the Hong Kong Media,"Chinese Univ Hong Kong, Sch Journalism & Commun, Hong Kong, Hong Kong, Peoples R China"
Lee, Francis L. F. ,News Values and Resource Allocation as the Determinants of Election Coverage: Analysis of a Hong Kong Election,"Chinese Univ Hong Kong, Sha Tin, Hong Kong, Peoples R China"
Lee, Benjamin ,Looking Out or Turning in? Organizational Ramifications of Online Political Posters on Facebook,"Univ Lancaster, Dept Polit Philosophy & Relig, Lancaster LA1 4YL, England"
Lee, Jin ,Mediated Superficiality and Misogyny Through Cool on Tinder,"Southern Illinois Univ Carbondale, Coll Mass Commun & Media Arts, 1100 Lincoln Dr, Carbondale, IL 62901 USA"
Lee, Claire Shinhea ,"Web Series, YouTube, and Politics: Affective and Emotional Dimensions of WIGS Lauren's User Comments","Univ Texas Austin, Dept Radio Televis Film, Austin, TX 78703 USA"
Lee, Ju-Sung ,"Refugee or Migrant Crisis? Labels, Perceived Agency, and Sentiment Polarity in Online Discussions","Erasmus Univ, Dept Media & Commun, Rotterdam, Netherlands"
Lee, Tae Kyoung ,"The Interaction of Affective Dispositions, Moral Judgments, and Intentionality in Assessing Narrative Characters: Rationalist and Intuitionist Sequences","Cornell Univ, Dept Commun, Ithaca, NY 14850 USA"
Lee, W ,"Polychronicity, the internet, and the mass media: A Singapore study","Nanyang Technol Univ, Sch Commun & Informat, Singapore 637718, Singapore"
Lee, Hyun-Hwa ,Consumer Attitudes Toward Online Mass Customization: An Application of Extended Technology Acceptance Model,"Univ Texas Austin Univ Stn, Sch Human Ecol, Austin, TX USA"
Lee, MJ ,Expanding hypertext: Does it address disorientation? Depends on individuals' adventurousness,"Washington State Univ, Edward R Murrow Sch Commun, Pullman, WA 99164 USA"
Lee, Sook Jung ,Online Communication and Adolescent Social Ties: Who benefits more from Internet use?(*),"Chung Ang Univ, Dept Mass Commun, Seoul, South Korea"
Lee, Jayeon ,The Double-Edged Sword: The Effects of Journalists' Social Media Activities on Audience Perceptions of Journalists and Their News Products,"Lehigh Univ, Weinstock Ctr Journalism, Bethlehem, PA 18015 USA"
Lee, Eun-Ju ,That's Not the Way It Is: How User-Generated Comments on the News Affect Perceived Media Bias,"Seoul Natl Univ, Seoul 151, South Korea"
Lee, WN ,The role of horizontal and vertical individualism and collectivism in online consumers' response toward persuasive communication on the web,"Univ Texas, Coll Commun, Dept Advertising, Austin, TX 78712 USA"
Lee, Sun Kyong ,Bounded Solidarity Confirmed? How Korean Immigrants' Mobile Communication Configures Their Social Networks,"Univ Oklahoma, Dept Commun, Norman, OK 73019 USA"
Lee, JW ,"Types of touch in cross-sex relationships between coworkers: Perceptions of relational and emotional messages, inappropriateness, and sexual harassment","Arizona State Univ, Hugh Downs Sch Human Commun, Tempe, AZ 85287 USA"
Lee, Ee Lin ,Thou Soo and Aih Auan: Communicating Dissatisfaction in a Chinese Malaysian Community,"Western Washington Univ, Dept Commun, Bellingham, WA 98225 USA"
Lee, Seung-Hee ,Managing Nongranting of Customers' Requests in Commercial Service Encounters,"Yonsei Univ, Seoul 120749, South Korea"
Lee, Seung-Hee ,Problem Presentation of Injury During Triage in Emergency Care,"Yonsei Univ, Dept English Language & Literature, 50 Yonsei Ro, Seoul 03722, South Korea"
LEE, S ,USING COLOR PREFERENCES IN MAGAZINE ADVERTISING,Missing
Lee, Dong Hwan ,Conceptualization and measurement of multidimensionality of integrated marketing communications,"Manhattan Coll, Sch Business, Riverdale, NY USA"
LEE, WN ,"NEW MEDIA, NEW MESSAGES - AN INITIAL INQUIRY INTO AUDIENCE REACTIONS TO ADVERTISING ON VIDEOCASSETTES","DDB NEEDHAM WORLDWIDE, CHICAGO, IL USA"
Lee, Jung-Gyo ,The impact of celebrity-product incongruence on the effectiveness of product endorsement,"Kyung Hee Univ, Seoul, South Korea"
Lee, B ,How and why people watch TV: Implications for the future of interactive television,Missing
Lee, Joowon ,Positive Side Effects Of In-App Reward Advertising Free Items Boost Sales: A Focus on Sampling Effects,"Korea Adv Inst Sci & Technol, Daejeon, South Korea"
Lee, Wei-Na ,Exploring the Role of Culture in Advertising: Resolving Persistent Issues and Responding to Changes,"Univ Texas Austin, Moody Coll Commun, Stan Richards Sch Advertising & Publ Relat, Commun, Austin, TX 78712 USA"
LEE, WN ,CHANGING MEDIA CONSUMPTION IN A NEW HOME - ACCULTURATION PATTERNS AMONG HONG-KONG IMMIGRANTS TO CANADA,"UNIV BRITISH COLUMBIA, FAC COMMERCE & BUSINESS ADM, VANCOUVER V6T 1W5, BC, CANADA"
Lee, YH ,Manipulating ad message involvement through information expectancy: Effects on attitude evaluation and confidence,"Natl Univ Singapore, Dept Mkt, Singapore 117548, Singapore"
Lee, Mira ,Effects of product placement in on-linie games on brand memory - A perspective of the limited-capacity model of attention,"Michigan State Univ, Coll Commun Arts & Sci, E Lansing, MI 48824 USA"
Lee, Yih Hwai ,What's funny and what's not - The moderating role of cultural orientation in ad humor,"Natl Univ Singapore, Dept Mkt, Sch Business, Singapore, Singapore"
Lee,Francis L. F.,Social media use and university students' participation in a large-scale protest campaign: The case of Hong Kong's Umbrella Movement,"Chinese Univ Hong Kong, Sch Journalism & Commun, Shatin, Hong Kong, Peoples R China"
Lee,Sangwon,An empirical analysis of tablet PC diffusion,"Kyung Hee Univ, Dept Journalism & Commun, 26 Kyungheedae Ro, Seoul, South Korea"
Lee,Hyunjoo,Acceptance and rejection of mobile TV among young adults: A case of college students in South Korea,"Yonsei Univ, Commun Policy Res Ctr, Seoul 120749, South Korea"
Lee,Kun Chang,Understanding continued ubiquitous decision support system usage behaviour,"Sungkyunkwan Univ, Creat Sci Res Inst, SKKU Business Sch, Seoul 110745, South Korea"
Lee,Sangwon,Determinants of IPTV diffusion,"Kyung Hee Univ, Dept Journalism & Commun, Seoul, South Korea"
Lee,Hyunmin,Assessment of motion media on believability and credibility: An exploratory study,"Univ Missouri, Missouri Sch Journalism, Columbia, MO 65211 USA"
Lee,Suman,The influence of logo design on country image and willingness to visit: A study of country logos for tourism,"Iowa State Univ, Greenlee Sch Journalism & Commun, Ames, IA 50011 USA"
Lee,So Young,Hybrid happening: Organizational reputations in corporate crises,"Univ Texas Austin, Stan Richards Sch Advertising & Publ Relat, Moody Coll Commun, 300 W Dean Keeton St,STOP A1200, Austin, TX 78712 USA"
Lee,Hyunmin,Revisiting gendered assumptions of practitioner power: An exploratory study examining the role of social media expertise,"Drexel Univ, Dept Commun, Philadelphia, PA 19104 USA"
Lee,Eun-Ju,Up Close and Personal on Social Media: When Do Politicians' Personal Disclosures Enhance Vote Intention?,"Seoul Natl Univ, Dept Commun, 1 Gwanak Ro, Seoul 08826, South Korea"
Lee,Sangwon,A CROSS-COUNTRY ANALYSIS OF FIXED BROADBAND DEPLOYMENT: EXAMINATION OF ADOPTION FACTORS AND NETWORK EFFECT,"Cent Michigan Univ, Sch Broadcasting & Cinemat Arts, Mt Pleasant, MI 48859 USA"
Lee,Na Yeon,"Tweeting public affairs or personal affairs? Journalists' tweets, interactivity, and ideology","Sungshin Womens Univ, Dept Media Commun, Seoul, South Korea"
Lee,Mina,The exposure to traumatic events and symptoms of posttraumatic stress disorder among Korean journalists,"Sookmyung Womens Univ, Sch Commun & Media, Cheongpa Ro 47-Gil 100, Seoul 04310, South Korea"
Lee,Mina,The Impact of Subtitles on Comprehension of Narrative Film,"Sookmyung Womens Univ, Sch Commun & Media, Seoul, South Korea"
Lee,Chul-Joo,Theorizing the Pathways From Seeking and Scanning to Mammography Screening,"Seoul Natl Univ, Dept Commun, Seoul 151742, South Korea"
Lee,Chul-joo,Source-specific Exposure to Contradictory Nutrition Information: Documenting Prevalence and Effects on Adverse Cognitive and Behavioral Outcomes,"Seoul Natl Univ, Dept Commun, 504 IBK Commun Ctr,1 Gwanak Ro, Seoul, South Korea"
Lee,Seungyoon,"Network Environments and Well-Being: An Examination of Personal Network Structure, Social Capital, and Perceived Social Support","Purdue Univ, Brian Lamb Sch Commun, W Lafayette, IN 47907 USA"
Lee,Hyunmin,"Framing Medical Tourism: An Analysis of Persuasive Appeals, Risks and Benefits, and New Media Features of Medical Tourism Broker Websites","St Louis Univ, Dept Commun, St Louis, MO 63108 USA"
Lee,Chul-joo,"A Moderated Mediation Model of the Relationship between Media, Social Capital, and Cancer Knowledge","Seoul Natl Univ, Dept Commun, 504 IBK Commun Ctr,1 Gwanak Ro, Seoul, South Korea"
Lee,Tae Kyoung,Deeper Processing Is Associated With Support for Policies to Reduce Obesity,"Cornell Univ, Dept Commun, Ithaca, NY 14853 USA"
Lee,ByungGu,Framing Risk with Numbers: The Framing Effects of Risk Assertions and Number Formats on Emotions and Risk Perceptions,"Univ Wisconsin, Sch Journalism & Mass Commun, 821 Univ Ave, Madison, WI 53706 USA"
Lee,Moon J.,Effects of Violence Against Women in Popular Crime Dramas on Viewers' Attitudes Related to Sexual Violence,"Univ Florida, Coll Journalism & Commun, Gainesville, FL 32611 USA"
Lee,Tae Kyoung,"When Social Media Become Hostile Media: An Experimental Examination of News Sharing, Partisanship, and Follower Count","Univ Utah, Dept Commun, 225 South Cent Campus Dr 2513, Salt Lake City, UT 84112 USA"
Lee,Francis L. F.,National lenses on a global news event: determinants of the politicization and domestication of the prelude to the Beijing Olympics,"Chinese Univ Hong Kong, Sch Journalism & Commun, Hong Kong, Hong Kong, Peoples R China"
Lee,Edmund W. J.,The Augmented Cognitive Mediation Model: Examining Antecedents of Factual and Structural Breast Cancer Knowledge Among Singaporean Women,"Nanyang Technol Univ, Wee Kim Wee Sch Commun & Informat, 31 Nanyang Link, Singapore 637718, Singapore"
Lee,Chul-joo,Socioeconomic Disparities in Fatalistic Beliefs About Cancer Prevention and the Internet,"Univ Illinois, Dept Commun, Urbana, IL 61801 USA"
Lee,Seungyoon,The emergence of clusters in the global telecommunications network,"Univ So Calif, Annenberg Sch Commun, Los Angeles, CA USA"
Lee,Jae Kook,"Social Media, Network Heterogeneity, and Opinion Polarization","Indiana Univ, Sch Journalism, Bloomington, IN 47405 USA"
Lee,Kyung Young,Online consumers' reactions to price decreases: Amazon's Kindle 2 case,"Bishops Univ, Williams Sch Business, Lenoxville, PQ, Canada"
Lee,Chun-Chia,Factors influencing sociability in educational MMORPGs - a fuzzy AHP approach,"Fooyin Univ, Kaohsiung, Taiwan"
Lee,Zach W. Y.,Why people participate in the sharing economy: an empirical investigation of Uber,"Univ Durham, Business Sch, Durham, England"
Lee,Matthew K. O.,Understanding customer knowledge sharing in web-based discussion boards - An exploratory study,"City Univ Hong Kong, Dept Informat Syst, Hong Kong, Hong Kong, Peoples R China"
Lee,Jong-Eun Roselyn,Does the Mask Govern the Mind?: Effects of Arbitrary Gender Representation on Quantitative Task Performance in Avatar-Represented Virtual Groups,"Ohio State Univ, Sch Commun, Columbus, OH 43210 USA"
Lee,Eun-Ju,Internet for the Internationals: Effects of Internet Use Motivations on International Students' College Adjustment,"Seoul Natl Univ, Dept Commun, Seoul 151742, South Korea"
Lee,Doohwang,The Impact of Online Brand Community Type on Consumer's Community Engagement Behaviors: Consumer-Created vs. Marketer-Created Online Brand Community in Online Social-Networking Web Sites,"Univ Alabama, Dept Telecommun & Film, Coll Commun & Informat Sci, Tuscaloosa, AL 35487 USA"
Lee,Hyegyu,The Role of Social Media Content on Solitary Drinking Among Korean Adults,"Handong Global Univ, Sch Management & Econ, Pohang, South Korea"
Lee,Yu-Hao,The Effects of Avatars' Age on Older Adults' Self-Disclosure and Trust,"Univ Florida, Coll Journalism & Commun, Dept Telecommun, 3051 Weimer Hall, Gainesville, FL 32611 USA"
Lee,Yu-Hao,Gaming Mindsets: Implicit Theories in Serious Game Learning,"Michigan State Univ, E Lansing, MI 48824 USA"
Lee,Jieun,Social Network Games Uncovered: Motivations and Their Attitudinal and Behavioral Outcomes,"Chung Ang Univ, Sch Business Adm, Seoul 156756, South Korea"
Lee,Yoon-Joo,The mediating role of attitude towards values advocacy ads in evaluating issue support behaviour and purchase intention,"Univ So Indiana, Dept Commun, Evansville, IN 47712 USA"
Lee,Ki-Young,The effect of 3-D product visualisation on the strength of brand attitude,"Rochester Inst Technol, Dept Commun, Rochester, NY 14623 USA"
Lee,Nam-Jin,"Framing policy debates - Issue dualism, journalistic frames, and opinions on controversial policy issues","Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA"
Lee,Francis,Do the Contents of Foreign News on Television Match Viewers' Interests? A 12-Nation Study of Topics and Countries of Interest,"Chinese Univ Hong Kong, Sch Journalism, Hong Kong, Hong Kong, Peoples R China"
Lee,Sun Young,Interplay of negative emotion and health self-efficacy on the use of health information and its outcomes,"Univ Wisconsin Madison, Sch Journalism & Mass Commun, Madison, WI USA"
Lee,Sun Kyong,The Role of Status Differentials and Homophily in the Formation of Social Support Networks of a Voluntary Organization,"Univ Oklahoma, Dept Commun, 610 Elm Ave, Norman, OK 73019 USA"
Lee,Nam-Jin,Processes of Political Socialization: A Communication Mediation Approach to Youth Civic Engagement,"Coll Charleston, Charleston, SC 29424 USA"
Lee,Angela M.,Audience Clicks and News Placement A Study of Time-Lagged Influence in Online Journalism,"Univ Texas Dallas, Richardson, TX 75080 USA"
Lee,Hoon,Hearing the Other Side Revisited: The Joint Workings of Cross-Cutting Discussion and Strong Tie Homogeneity in Facilitating Deliberative and Participatory Democracy,"Univ Michigan, Ann Arbor, MI 48109 USA"
Lee,Kwan Min,Children's responses to computer-synthesized speech in educational media: Gender consistency and gender similarity effects,"Univ So Calif, Annenberg Sch Commun, Los Angeles, CA 90089 USA"
Lee,Sunghee,Linguistic minorities in a health survey,"Univ Calif Los Angeles, Ctr Hlth Policy Res, Los Angeles, CA 90024 USA"
Lee,Joonghwa,Brand interactivity and its effects on the outcomes of advergame play,"Middle Tennessee State Univ, Sch Journalism, Murfreesboro, TN 37132 USA"
Lee,Chin-Chuan,Symbolic Use of Decisive Events: Tiananmen as a News Icon in the editorials of the elite US press,"City Univ Hong Kong, Dept Media & Commun, Kowloon, Hong Kong, Peoples R China"
Lee,Yu-Hao,Feeling Right About How You Play: The Effects of Regulatory Fit in Games for Learning,"Michigan State Univ, Dept Telecommun Informat Studies & Media, E Lansing, MI 48823 USA"
Lee,Yu-Hao,Does that sound right? The effects of regulatory fit and nonfit headline frames on motivated information processing,"Univ Florida, Dept Telecommun, POB 118400, Gainesville, FL 32611 USA"
Lee,Eun-Ju,How user comments affect news processing and reality perception: Activation and refutation of regional prejudice,"Seoul Natl Univ, Dept Commun, Seoul, South Korea"
Lee,Yu-Kang,What Sells Better in Green Communications: Fear or Hope? It Depends on Whether the Issue Is Global or Local,"Natl Sun Yat Sen Univ, Polit Econ, Kaohsiung, Taiwan"
Lee,Byoungkwan,The effects of information sources on consumeir reactions to direct-to-consumer (DTC) prescription drug advertising - A consumer socialization approach,"Hanyang Univ, Dept Advertising & Publ Relat, Seoul 133791, South Korea"
Moreira,Fernando,Evolution and use of mobile devices in higher education: A case study in Portuguese Higher Education Institutions between 2009/2010 and 2014/2015,"Univ Aveiro, IEETA, Univ Portucalense, IJP, Oporto, Portugal"
Moreira,Fernando,A comparative study about mobile learning in Iberian Peninsula Universities: Are professors ready?,"Univ Portucalense, REMIT, IJP, Porto, Portugal"
Cutino, Chelsea M. ,Restricting mobile phone access during homework increases attainment of study goals,"Lafayette Coll, Easton, PA 18042 USA"
ALVARO, EM ,INDIVIDUAL-DIFFERENCES IN RESPONSES TO SOCIAL-INFLUENCE ATTEMPTS - THEORY AND RESEARCH ON THE EFFECTS OF MISANTHROPY,"UNIV ARIZONA,CTR CANC,TUCSON,AZ 85721"
Alvaro,Eusebio M.,A Mass Mediated Intervention on Hispanic Live Kidney Donation,"Claremont Grad Univ, Sch Behav & Org Sci, Dept Psychol, Claremont, CA 91711 USA"
VANRIEL, CBM ,CORPORATE COMMUNICATION IN EUROPEAN FINANCIAL INSTITUTIONS,Missing
SALOMON, G ,PREDISPOSITIONS ABOUT LEARNING FROM PRINT AND TELEVISION,"HEBREW UNIV JERUSALEM,JERUSALEM,ISRAEL"
SALOMON, G ,COGNITIVE SKILL LEARNING ACROSS CULTURES,"HEBREW UNIV JERUSALEM,JERUSALEM 91000,ISRAEL"
SALOMON, G ,COGNITIVE EFFECTS WITH AND OF COMPUTER-TECHNOLOGY,Missing
Nabi, Robin L. ,Why Misery Loves Company: The Role of Self-Forgiveness in Reducing Regret Through Media Consumption,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,"Inspired by Hope, Motivated by Envy: Comparing the Effects of Discrete Emotions in the Process of Social Comparison to Media Figures","Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,Uplifting Fear Appeals: Considering the Role of Hope in Fear-Based Persuasive Messages,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,Unrealistic Hope and Unnecessary Fear: Exploring How Sensationalistic News Stories Influence Health Behavior Motivation,"Univ Calif Santa Barbara, Dept Commun, 4137 SSMS Bldg, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,The Effects of Reality-Based Television Programming on Diet and Exercise Motivation and Self-Efficacy in Young Adults,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,Emotional Flow in Persuasive Health Messages,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,Laughing in the Face of Fear (of Disease Detection): Using Humor to Promote Cancer Self-Examination Behavior,"Univ Calif Santa Barbara, Dept Commun, 4137 SSMS Bldg, Santa Barbara, CA 93105 USA"
Nabi, RL ,The persuasive effect of host and audience reaction shots in television talk shows,"Univ Arizona, Dept Commun, Tucson, AZ 85721 USA"
Nabi, Robin L. ,Exploring the limits of social cognitive theory: Why negatively reinforced behaviors on TV may be modeled anyway,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,"Personality traits, television viewing, and the cultivation effect","Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,Determining dimensions of reality: A concept mapping of the reality TV landscape,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,It takes two: the effect of child characteristics on U.S. parents' motivations for allowing electronic media use,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, RL ,"Exploring the framing effects of emotion - Do discrete emotions differentially influence information accessibility, information seeking, and policy preference?","Univ Arizona, Tucson, AZ 85721 USA"
Nabi, RL ,Does television viewing relate to engagement in protective action against crime? A cultivation analysis from a theory of reasoned action perspective,"Univ Arizona, Tucson, AZ 85721 USA"
Nabi, Robin L. ,Cosmetic Surgery Makeover Programs and Intentions to Undergo Cosmetic Enhancements: A Consideration of Three Models of Media Effects,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, RL ,Conceptualizing media enjoyment as attitude: Implications for mass media effects research,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi, Robin L. ,The Case for Emphasizing Discrete Emotions in Communication Research,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi,RL,Reality-based television programming and the psychology of its appeal,"Univ Arizona, Dept Commun, Tucson, AZ 85721 USA"
Nabi,Robin L.,Could Watching TV Be Good for You? Examining How Media Consumption Patterns Relate to Salivary Cortisol,"Univ Calif Santa Barbara, Dept Commun, 4137 SSMS Bldg, Santa Barbara, CA 93106 USA"
Nabi,Robin L.,Subjective knowledge and fear appeal effectiveness: Implications for message design,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi,RL,Predicting intentions versus predicting behaviors: Domestic violence prevention from a theory of reasoned action perspective,"Univ Arizona, Dept Commun, Tucson, AZ 85721 USA"
Nabi,Robin L.,Does misery love company? Exploring the therapeutic effects of TV viewing on regretted experiences,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi,Robin L.,"Facebook Friends with (Health) Benefits? Exploring Social Network Site Use and Perceptions of Social Support, Stress, and Well-Being","Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi,Robin L.,Guilty Pleasure No More The Relative Importance of Media Use for Coping With Stress,"UC Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
Nabi,Robin L.,All joking aside: A serious investigation into the persuasive effect of funny social issue messages,"Univ Calif Santa Barbara, Dept Commun, Santa Barbara, CA 93106 USA"
DATOR, J ,ADULT-EDUCATION AND INVENTION OF ALTERNATIVE FUTURES,"ONTARIO EDUC COMMUN AUTHOR,FUTURES PROJECT,TORONTO,ONTARIO,CANADA"
Yar, Majid ,"Crime, media and the will-to-representation: Reconsidering relationships in the new media age","Univ Hull, Kingston Upon Hull HU6 7RX, N Humberside, England"
Yar, M ,The global 'epidemic' of movie 'piracy': crime-wave or social construction?,"Univ Kent, Sch Social Policy Sociol & Social Res, Canterbury CT2 7NZ, Kent, England"
Yar, Majid ,"The rhetorics and myths of anti-piracy campaigns: criminalization, moral pedagogy and capitalist property relations in the classroom","Univ Keele, CESSW, Keele ST5 5BG, Staffs, England"
TOCH, HH ,PSYCHOLOGICAL-RESEARCH AND EFFECTIVE PERSUASION,Missing
TOCH, H ,I SHOT AN ARROW IN AIR ... PERFORMING ARTS AS WEAPONS OF SOCIAL CHANGE,"SUNY, SCH CRIMINAL JUSTICE, ALBANY, NY USA"
Toch, Hans H. ,"Crisis, Situations and Ideological Revaluation",Missing
TOCH, HH ,THE PERCEPTION OF FUTURE EVENTS - CASE STUDIES IN SOCIAL PREDICTION,Missing
Jamil, Raihan ,A Culture-Centered Exploration of Health: Constructions From Rural Bangladesh,"Purdue Univ, Brian Lamb Sch Commun, Dept Commun, W Lafayette, IN 47907 USA"
Jamil, Kazuhiro ,Worry and Intention Among Japanese Women: Implications for an Audience Segmentation Strategy to Promote Mammography Adoption,"Waseda Univ, Japan Soc Promot Sci, Tokyo, Japan"
Jamil, Chris R. ,The Influence of Uncertainty and Social Support on Information Seeking Concerning Illicit Stimulant Use Among Young Adults,"Bryant Univ, Dept Commun, Smithfield, RI 02917 USA"
STROMAN, CA ,TELEVISION VIEWING AND SELF-CONCEPT AMONG BLACK-CHILDREN,Missing
Ling, Rich ,From ubicomp to ubiex(pectations),"IT Univ Copenhagen, Copenhagen, Denmark"
Ling, Fan ,Clustering results of image searches by annotations and visual features,"Natl Chung Cheng Univ, Dept Informat Management, Minhsiung 62102, Taiwan"
Ling, Qi ,Constructing a 'first' First Lady through memory: The case of China's Peng Liyuan,"Univ Iowa, Sch Journalism & Mass Commun, 100 Adler Journalism Bldg, Iowa City, IA 52242 USA"
Ling, Rich ,Microcoordination 2.0: Social Coordination in the Age of Smartphones and Messaging Apps,"Nanyang Technol Univ, Wee Kim Wee Sch Commun & Informat, Singapore 637718, Singapore"
Hassan, Mahmud ,Consumer devotion to a different height How consumers are defending the brand within Facebook brand communities,"Chittagong Independent Univ, Sch Business, Chittagong, Bangladesh"
Hassan, R ,The MIT Media Lab: techno dream factory or alienation as a way of life?,"Swinburne Univ Technol, Inst Social Res, Melbourne, Vic, Australia"
Hassan, Robert ,"Digital, ethical, political: Network time and common responsibility","Univ Melbourne, Media & Commun, Melbourne, Vic, Australia"
Ling, Rich ,Texting as a life phase medium,"IT Univ Copenhagen, DK-2300 Copenhagen S, Denmark"
Ling,Rich,The socio-demographics of texting: An analysis of traffic data,"IT Univ Copenhagen, DK-2300 Copenhagen S, Denmark"
SARDAR, Z ,"PAPER, PRINTING AND COMPACT DISKS - THE MAKING AND UNMAKING OF ISLAMIC CULTURE",Missing
Arpan, LM ,"""Stormy weather: testing """"stealing thunder"""" as a crisis communication strategy to improve communication flow between organizations and journalists""","Florida State Univ, Dept Commun, Tallahassee, FL 32306 USA"
Arpan, LM ,Stealing thunder: Analysis of the effects of proactive disclosure of crisis information,"Florida State Univ, Dept Commun, Tallahassee, FL 32306 USA"
Arpan, LM ,An experimental investigation of news source and the hostile media effect,"Florida State Univ, Dept Commun, Tallahassee, FL 32306 USA"
Arpan, Laura M. ,EXPLORING ANGER IN THE HOSTILE MEDIA PROCESS: EFFECTS ON NEWS PREFERENCES AND SOURCE EVALUATION,"Florida State Univ, Dept Commun, Tallahassee, FL 32306 USA"
Arpan, Laura M. ,Influence of source liking and personality traits on perceptions of bias and future news source selection,"Florida State Univ, Dept Commun, Tallahassee, FL 32306 USA"
Arpan, Laura M. ,"Photographic Depiction of Normative Deviance and Informational Utility as Predictors of Protest News Exposure, Related Perceptions, and Story Comprehension","Florida State Univ, Dept Commun, Univ Ctr C 3107, Tallahassee, FL 32306 USA"
Arpan, Laura M. ,The Effects of Exemplification on Perceptions of News Credibility,"Florida State Univ, Dept Commun, Tallahassee, FL 32306 USA"
Arpan,Laura M.,Integrating Self-Affirmation with Health Risk Messages: Effects on Message Evaluation and Response,"Florida State Univ, Sch Commun, Tallahassee, FL 32306 USA"
Abo,Melissa M.,Using Health Conditions for Laughs and Health Policy Support: The Case of Food Allergies,"Ohio State Univ, Sch Commun, 309 Journalism Bldg,242 W 18th Ave, Columbus, OH 43017 USA"
Ballon,Pieter,The effectiveness of involving users in digital innovation: Measuring the impact of living labs,"Vrije Univ Brussel, Imec SMIT, Pl Laan 9, B-1050 Brussels, Belgium"
Nagar, Rotem ,"The Hostile Suffering Effect: Mediated Encounters With the Suffering of Opponents, Recognition, and Moral Concern in Protracted Asymmetrical Conflict","Hebrew Univ Jerusalem, Jerusalem, Israel"
Antony, Mary Grace ,"""""""Is the friendship worth keeping:"""" Gender differences in communicating forgiveness in friendships""","Western Washington Univ, Dept Commun Studies, CF 295,516 High St, Bellingham, WA 98225 USA"
Antony, Mary Grace ,'This is citizen journalism at its finest': YouTube and the public sphere in the Oscar Grant shooting incident,"Washington State Univ, Edward R Murrow Coll Commun, Pullman, WA 99163 USA"
Fullwood, Chris ,Up-Dating: Ratings of Perceived Dating Success Are Better Online than Offline,"Univ Wolverhampton, Inst Psychol, Wolverhampton, W Midlands, England"
Fullwood,Chris,BETWEEN IMPARTIALITY AND IDEOLOGY,"Univ Surrey, Dept Polit, Surrey GU2 7XH, England"
Fullwood,Chris,Put on a Smiley Face: Textspeak and Personality Perceptions,"Wolverhampton Univ, Inst Psychol, Wolverhampton WV1 1AD, W Midlands, England"
Fullwood,Chris,Self-Concept Clarity and Online Self-Presentation in Adolescents,"Wolverhampton Univ, Inst Psychol, Wolverhampton WV1 1LY, W Midlands, England"
Fullwood,Chris,We've got something for everyone: How individual differences predict different blogging motivations,"Wolverhampton Univ, Psychol, Wolverhampton WV1 1AD, W Midlands, England"
